Customer ID,total_spent,num_transactions,avg_transaction,age,gender,total_quantity,top_category,value_segment
CUST081,50,1,50.0,40,Male,1,Electronics,Low-Value
CUST082,200,1,200.0,32,Female,4,Beauty,Medium-Value
CUST083,100,1,100.0,54,Male,2,Electronics,Medium-Value
CUST084,90,1,90.0,38,Female,3,Electronics,Low-Value
CUST085,150,1,150.0,31,Male,3,Clothing,Medium-Value
CUST086,90,1,90.0,19,Male,3,Beauty,Low-Value
CUST087,100,1,100.0,28,Female,2,Beauty,Medium-Value
CUST088,500,1,500.0,56,Male,1,Clothing,Medium-Value
CUST089,2000,1,2000.0,55,Female,4,Electronics,High-Value
CUST090,30,1,30.0,51,Female,1,Electronics,Low-Value
CUST091,500,1,500.0,55,Female,1,Electronics,Medium-Value
CUST092,120,1,120.0,51,Female,4,Electronics,Medium-Value
CUST093,2000,1,2000.0,35,Female,4,Beauty,High-Value
CUST094,1000,1,1000.0,47,Female,2,Beauty,High-Value
CUST095,60,1,60.0,32,Female,2,Clothing,Low-Value
CUST096,600,1,600.0,44,Female,2,Clothing,High-Value
CUST097,1000,1,1000.0,51,Female,2,Beauty,High-Value
CUST098,100,1,100.0,55,Female,2,Beauty,Medium-Value
CUST099,1200,1,1200.0,50,Female,4,Electronics,High-Value
CUST100,30,1,30.0,41,Male,1,Electronics,Low-Value
CUST1000,120,1,120.0,47,Male,4,Electronics,Medium-Value
CUST101,600,1,600.0,32,Male,2,Clothing,High-Value
CUST102,50,1,50.0,47,Female,2,Beauty,Low-Value
CUST103,25,1,25.0,59,Female,1,Clothing,Low-Value
CUST104,1000,1,1000.0,34,Female,2,Beauty,High-Value
CUST105,500,1,500.0,22,Female,1,Electronics,Medium-Value
CUST106,50,1,50.0,46,Female,1,Clothing,Low-Value
CUST107,1200,1,1200.0,21,Female,4,Clothing,High-Value
CUST108,75,1,75.0,27,Female,3,Beauty,Low-Value
CUST109,2000,1,2000.0,34,Female,4,Electronics,High-Value
CUST110,900,1,900.0,27,Male,3,Clothing,High-Value
CUST111,1500,1,1500.0,34,Female,3,Electronics,High-Value
CUST112,1500,1,1500.0,37,Male,3,Clothing,High-Value
CUST113,50,1,50.0,41,Female,2,Electronics,Low-Value
CUST114,100,1,100.0,22,Female,4,Beauty,Medium-Value
CUST115,1500,1,1500.0,51,Male,3,Clothing,High-Value
CUST116,30,1,30.0,23,Female,1,Clothing,Low-Value
CUST117,1000,1,1000.0,19,Male,2,Electronics,High-Value
CUST118,2000,1,2000.0,30,Female,4,Electronics,High-Value
CUST119,150,1,150.0,60,Female,3,Clothing,Medium-Value
CUST120,50,1,50.0,60,Male,1,Beauty,Low-Value
CUST121,200,1,200.0,28,Female,4,Electronics,Medium-Value
CUST122,120,1,120.0,64,Male,4,Electronics,Medium-Value
CUST123,60,1,60.0,40,Female,2,Electronics,Low-Value
CUST124,2000,1,2000.0,33,Male,4,Clothing,High-Value
CUST125,100,1,100.0,48,Male,2,Clothing,Medium-Value
CUST126,90,1,90.0,28,Female,3,Clothing,Low-Value
CUST127,50,1,50.0,33,Female,2,Clothing,Low-Value
CUST128,500,1,500.0,25,Male,1,Beauty,Medium-Value
CUST129,600,1,600.0,21,Female,2,Beauty,High-Value
CUST130,500,1,500.0,57,Female,1,Clothing,Medium-Value
CUST131,600,1,600.0,21,Female,2,Beauty,High-Value
CUST132,200,1,200.0,42,Male,4,Electronics,Medium-Value
CUST133,900,1,900.0,20,Male,3,Electronics,High-Value
CUST134,50,1,50.0,49,Male,1,Electronics,Low-Value
CUST135,50,1,50.0,20,Male,2,Clothing,Low-Value
CUST136,600,1,600.0,44,Male,2,Electronics,High-Value
CUST137,1000,1,1000.0,46,Male,2,Beauty,High-Value
CUST138,200,1,200.0,49,Male,4,Clothing,Medium-Value
CUST139,2000,1,2000.0,36,Male,4,Beauty,High-Value
CUST140,30,1,30.0,38,Male,1,Electronics,Low-Value
CUST141,50,1,50.0,22,Female,1,Electronics,Low-Value
CUST142,1200,1,1200.0,35,Male,4,Electronics,High-Value
CUST143,50,1,50.0,45,Female,1,Clothing,Low-Value
CUST144,1500,1,1500.0,59,Female,3,Beauty,High-Value
CUST145,75,1,75.0,39,Female,3,Clothing,Low-Value
CUST146,200,1,200.0,38,Male,4,Clothing,Medium-Value
CUST147,300,1,300.0,23,Male,1,Electronics,Medium-Value
CUST148,60,1,60.0,18,Male,2,Clothing,Low-Value
CUST149,75,1,75.0,22,Male,3,Clothing,Low-Value
CUST150,120,1,120.0,58,Female,4,Electronics,Medium-Value
CUST151,50,1,50.0,29,Male,1,Clothing,Low-Value
CUST152,2000,1,2000.0,43,Male,4,Electronics,High-Value
CUST153,1000,1,1000.0,63,Male,2,Electronics,High-Value
CUST154,900,1,900.0,51,Male,3,Electronics,High-Value
CUST155,2000,1,2000.0,31,Male,4,Electronics,High-Value
CUST156,100,1,100.0,43,Female,4,Clothing,Medium-Value
CUST157,2000,1,2000.0,62,Male,4,Electronics,High-Value
CUST158,600,1,600.0,44,Female,2,Electronics,High-Value
CUST159,200,1,200.0,26,Male,4,Clothing,Medium-Value
CUST160,100,1,100.0,43,Female,2,Clothing,Medium-Value
CUST161,1000,1,1000.0,64,Male,2,Beauty,High-Value
CUST162,60,1,60.0,39,Male,2,Clothing,Low-Value
CUST163,150,1,150.0,64,Female,3,Clothing,Medium-Value
CUST164,1500,1,1500.0,47,Female,3,Beauty,High-Value
CUST165,1200,1,1200.0,60,Female,4,Clothing,High-Value
CUST166,2000,1,2000.0,34,Male,4,Clothing,High-Value
CUST167,150,1,150.0,43,Female,3,Clothing,Medium-Value
CUST168,300,1,300.0,53,Male,1,Clothing,Medium-Value
CUST169,1500,1,1500.0,18,Male,3,Beauty,High-Value
CUST170,50,1,50.0,25,Female,2,Clothing,Low-Value
CUST171,900,1,900.0,52,Female,3,Clothing,High-Value
CUST172,50,1,50.0,32,Male,2,Beauty,Low-Value
CUST173,120,1,120.0,64,Male,4,Electronics,Medium-Value
CUST174,300,1,300.0,39,Female,1,Beauty,Medium-Value
CUST175,100,1,100.0,31,Female,4,Electronics,Medium-Value
CUST176,100,1,100.0,43,Female,2,Beauty,Medium-Value
CUST177,100,1,100.0,45,Male,2,Beauty,Medium-Value
CUST178,60,1,60.0,40,Male,2,Clothing,Low-Value
CUST179,300,1,300.0,31,Male,1,Electronics,Medium-Value
CUST180,900,1,900.0,41,Male,3,Clothing,High-Value
CUST181,1200,1,1200.0,19,Male,4,Electronics,High-Value
CUST182,120,1,120.0,62,Male,4,Beauty,Medium-Value
CUST183,900,1,900.0,43,Female,3,Beauty,High-Value
CUST184,200,1,200.0,31,Male,4,Electronics,Medium-Value
CUST185,25,1,25.0,24,Male,1,Clothing,Low-Value
CUST186,200,1,200.0,20,Male,4,Clothing,Medium-Value
CUST187,100,1,100.0,64,Female,2,Clothing,Medium-Value
CUST188,75,1,75.0,40,Male,3,Clothing,Low-Value
CUST189,50,1,50.0,63,Male,1,Beauty,Low-Value
CUST190,90,1,90.0,60,Female,3,Beauty,Low-Value
CUST191,25,1,25.0,64,Male,1,Beauty,Low-Value
CUST192,100,1,100.0,62,Male,2,Beauty,Medium-Value
CUST193,1500,1,1500.0,35,Male,3,Beauty,High-Value
CUST194,200,1,200.0,55,Male,4,Clothing,Medium-Value
CUST195,30,1,30.0,52,Male,1,Clothing,Low-Value
CUST196,900,1,900.0,32,Female,3,Clothing,High-Value
CUST197,200,1,200.0,42,Female,4,Clothing,Medium-Value
CUST198,900,1,900.0,54,Female,3,Beauty,High-Value
CUST199,1500,1,1500.0,45,Male,3,Beauty,High-Value
CUST200,150,1,150.0,27,Male,3,Beauty,Medium-Value
CUST201,25,1,25.0,56,Male,1,Electronics,Low-Value
CUST202,1200,1,1200.0,34,Female,4,Clothing,High-Value
CUST203,1000,1,1000.0,56,Male,2,Clothing,High-Value
CUST204,25,1,25.0,39,Male,1,Beauty,Low-Value
CUST205,25,1,25.0,43,Female,1,Clothing,Low-Value
CUST206,25,1,25.0,61,Male,1,Clothing,Low-Value
CUST207,50,1,50.0,42,Female,2,Beauty,Low-Value
CUST208,200,1,200.0,34,Female,4,Electronics,Medium-Value
CUST209,200,1,200.0,30,Female,4,Electronics,Medium-Value
CUST210,200,1,200.0,37,Male,4,Electronics,Medium-Value
CUST211,1500,1,1500.0,42,Male,3,Beauty,High-Value
CUST212,1500,1,1500.0,21,Male,3,Clothing,High-Value
CUST213,1500,1,1500.0,27,Male,3,Beauty,High-Value
CUST214,60,1,60.0,20,Male,2,Beauty,Low-Value
CUST215,1500,1,1500.0,58,Male,3,Clothing,High-Value
CUST216,100,1,100.0,62,Male,2,Electronics,Medium-Value
CUST217,200,1,200.0,35,Female,4,Electronics,Medium-Value
CUST218,90,1,90.0,64,Male,3,Beauty,Low-Value
CUST219,90,1,90.0,53,Female,3,Electronics,Low-Value
CUST220,500,1,500.0,64,Male,1,Beauty,Medium-Value
CUST221,600,1,600.0,39,Male,2,Beauty,High-Value
CUST222,120,1,120.0,51,Male,4,Clothing,Medium-Value
CUST223,25,1,25.0,64,Female,1,Clothing,Low-Value
CUST224,50,1,50.0,25,Female,1,Clothing,Low-Value
CUST225,100,1,100.0,57,Female,4,Beauty,Medium-Value
CUST226,50,1,50.0,61,Female,1,Clothing,Low-Value
CUST227,100,1,100.0,36,Male,2,Electronics,Medium-Value
CUST228,60,1,60.0,59,Female,2,Electronics,Low-Value
CUST229,90,1,90.0,58,Male,3,Beauty,Low-Value
CUST230,25,1,25.0,54,Male,1,Beauty,Low-Value
CUST231,150,1,150.0,23,Female,3,Clothing,Medium-Value
CUST232,25,1,25.0,43,Female,1,Beauty,Low-Value
CUST233,600,1,600.0,51,Female,2,Beauty,High-Value
CUST234,50,1,50.0,62,Female,2,Electronics,Low-Value
CUST235,1000,1,1000.0,23,Female,2,Electronics,High-Value
CUST236,25,1,25.0,54,Female,1,Clothing,Low-Value
CUST237,1000,1,1000.0,50,Female,2,Beauty,High-Value
CUST238,500,1,500.0,39,Female,1,Beauty,Medium-Value
CUST239,1500,1,1500.0,38,Male,3,Electronics,High-Value
CUST240,300,1,300.0,23,Female,1,Beauty,Medium-Value
CUST241,75,1,75.0,23,Female,3,Electronics,Low-Value
CUST242,25,1,25.0,21,Male,1,Clothing,Low-Value
CUST243,900,1,900.0,47,Female,3,Electronics,High-Value
CUST244,100,1,100.0,28,Male,2,Beauty,Medium-Value
CUST245,90,1,90.0,47,Male,3,Clothing,Low-Value
CUST246,50,1,50.0,48,Female,2,Electronics,Low-Value
CUST247,60,1,60.0,41,Male,2,Electronics,Low-Value
CUST248,900,1,900.0,26,Male,3,Clothing,High-Value
CUST249,50,1,50.0,20,Male,1,Clothing,Low-Value
CUST250,50,1,50.0,48,Male,1,Electronics,Low-Value
CUST251,200,1,200.0,57,Female,4,Beauty,Medium-Value
CUST252,300,1,300.0,54,Male,1,Electronics,Medium-Value
CUST253,2000,1,2000.0,53,Female,4,Clothing,High-Value
CUST254,500,1,500.0,41,Male,1,Electronics,Medium-Value
CUST255,30,1,30.0,48,Male,1,Clothing,Low-Value
CUST256,1000,1,1000.0,23,Male,2,Clothing,High-Value
CUST257,2000,1,2000.0,19,Male,4,Beauty,High-Value
CUST258,50,1,50.0,37,Female,1,Clothing,Low-Value
CUST259,200,1,200.0,45,Female,4,Clothing,Medium-Value
CUST260,60,1,60.0,28,Male,2,Beauty,Low-Value
CUST261,50,1,50.0,21,Male,2,Clothing,Low-Value
CUST262,120,1,120.0,32,Female,4,Beauty,Medium-Value
CUST263,60,1,60.0,23,Male,2,Beauty,Low-Value
CUST264,900,1,900.0,47,Male,3,Clothing,High-Value
CUST265,900,1,900.0,55,Male,3,Clothing,High-Value
CUST266,60,1,60.0,19,Female,2,Electronics,Low-Value
CUST267,90,1,90.0,32,Female,3,Beauty,Low-Value
CUST268,30,1,30.0,28,Female,1,Electronics,Low-Value
CUST269,2000,1,2000.0,25,Male,4,Clothing,High-Value
CUST270,300,1,300.0,43,Male,1,Electronics,Medium-Value
CUST271,120,1,120.0,62,Female,4,Beauty,Medium-Value
CUST272,100,1,100.0,61,Female,2,Electronics,Medium-Value
CUST273,50,1,50.0,22,Female,1,Beauty,Low-Value
CUST274,1000,1,1000.0,23,Female,2,Clothing,High-Value
CUST275,1000,1,1000.0,43,Male,2,Clothing,High-Value
CUST276,100,1,100.0,21,Female,4,Beauty,Medium-Value
CUST277,100,1,100.0,36,Male,4,Clothing,Medium-Value
CUST278,100,1,100.0,37,Female,4,Clothing,Medium-Value
CUST279,500,1,500.0,50,Male,1,Clothing,Medium-Value
CUST280,1500,1,1500.0,37,Female,3,Clothing,High-Value
CUST281,2000,1,2000.0,29,Female,4,Beauty,High-Value
CUST282,200,1,200.0,64,Female,4,Electronics,Medium-Value
CUST283,500,1,500.0,18,Female,1,Electronics,Medium-Value
CUST284,200,1,200.0,43,Male,4,Clothing,Medium-Value
CUST285,25,1,25.0,31,Female,1,Electronics,Low-Value
CUST286,50,1,50.0,55,Male,2,Electronics,Low-Value
CUST287,100,1,100.0,54,Male,4,Clothing,Medium-Value
CUST288,120,1,120.0,28,Male,4,Clothing,Medium-Value
CUST289,60,1,60.0,53,Male,2,Electronics,Low-Value
CUST290,600,1,600.0,30,Female,2,Beauty,High-Value
CUST291,600,1,600.0,60,Male,2,Clothing,High-Value
CUST292,1200,1,1200.0,20,Male,4,Beauty,High-Value
CUST293,90,1,90.0,50,Male,3,Electronics,Low-Value
CUST294,90,1,90.0,23,Female,3,Clothing,Low-Value
CUST295,900,1,900.0,27,Female,3,Beauty,High-Value
CUST296,1200,1,1200.0,22,Female,4,Clothing,High-Value
CUST297,1000,1,1000.0,40,Female,2,Electronics,High-Value
CUST298,1200,1,1200.0,27,Male,4,Beauty,High-Value
CUST299,1000,1,1000.0,61,Male,2,Electronics,High-Value
CUST300,200,1,200.0,19,Female,4,Electronics,Medium-Value
CUST301,120,1,120.0,30,Male,4,Clothing,Medium-Value
CUST302,600,1,600.0,57,Male,2,Beauty,High-Value
CUST303,90,1,90.0,19,Male,3,Electronics,Low-Value
CUST304,60,1,60.0,37,Female,2,Electronics,Low-Value
CUST305,30,1,30.0,18,Female,1,Beauty,Low-Value
CUST306,50,1,50.0,54,Male,1,Electronics,Low-Value
CUST307,50,1,50.0,26,Female,2,Electronics,Low-Value
CUST308,1200,1,1200.0,34,Female,4,Beauty,High-Value
CUST309,25,1,25.0,26,Female,1,Beauty,Low-Value
CUST310,25,1,25.0,28,Female,1,Beauty,Low-Value
CUST311,100,1,100.0,32,Female,4,Beauty,Medium-Value
CUST312,120,1,120.0,41,Male,4,Clothing,Medium-Value
CUST313,1500,1,1500.0,55,Female,3,Beauty,High-Value
CUST314,120,1,120.0,52,Male,4,Clothing,Medium-Value
CUST315,60,1,60.0,47,Male,2,Clothing,Low-Value
CUST316,50,1,50.0,48,Female,2,Clothing,Low-Value
CUST317,90,1,90.0,22,Male,3,Electronics,Low-Value
CUST318,25,1,25.0,61,Male,1,Clothing,Low-Value
CUST319,500,1,500.0,31,Male,1,Clothing,Medium-Value
CUST320,1200,1,1200.0,28,Female,4,Electronics,High-Value
CUST321,50,1,50.0,26,Female,2,Electronics,Low-Value
CUST322,500,1,500.0,51,Male,1,Electronics,Medium-Value
CUST323,900,1,900.0,29,Female,3,Beauty,High-Value
CUST324,150,1,150.0,52,Female,3,Electronics,Medium-Value
CUST325,50,1,50.0,52,Female,2,Electronics,Low-Value
CUST326,75,1,75.0,18,Female,3,Clothing,Low-Value
CUST327,150,1,150.0,57,Male,3,Electronics,Medium-Value
CUST328,100,1,100.0,39,Male,2,Beauty,Medium-Value
CUST329,100,1,100.0,46,Female,4,Electronics,Medium-Value
CUST330,200,1,200.0,25,Female,4,Beauty,Medium-Value
CUST331,90,1,90.0,28,Male,3,Electronics,Low-Value
CUST332,1200,1,1200.0,58,Male,4,Electronics,High-Value
CUST333,1200,1,1200.0,54,Female,4,Electronics,High-Value
CUST334,900,1,900.0,31,Male,3,Electronics,High-Value
CUST335,120,1,120.0,47,Female,4,Beauty,Medium-Value
CUST336,150,1,150.0,52,Female,3,Beauty,Medium-Value
CUST337,500,1,500.0,38,Male,1,Clothing,Medium-Value
CUST338,100,1,100.0,54,Male,2,Beauty,Medium-Value
CUST339,50,1,50.0,22,Female,2,Electronics,Low-Value
CUST340,1200,1,1200.0,36,Female,4,Clothing,High-Value
CUST341,200,1,200.0,31,Male,4,Clothing,Medium-Value
CUST342,2000,1,2000.0,43,Female,4,Clothing,High-Value
CUST343,50,1,50.0,21,Male,2,Electronics,Low-Value
CUST344,30,1,30.0,42,Female,1,Beauty,Low-Value
CUST345,30,1,30.0,62,Male,1,Electronics,Low-Value
CUST346,1000,1,1000.0,59,Male,2,Clothing,High-Value
CUST347,25,1,25.0,42,Male,1,Electronics,Low-Value
CUST348,600,1,600.0,35,Female,2,Electronics,High-Value
CUST349,50,1,50.0,57,Female,1,Beauty,Low-Value
CUST350,75,1,75.0,25,Male,3,Beauty,Low-Value
CUST351,90,1,90.0,56,Female,3,Clothing,Low-Value
CUST352,1000,1,1000.0,57,Male,2,Electronics,High-Value
CUST353,500,1,500.0,31,Male,1,Electronics,Medium-Value
CUST354,200,1,200.0,49,Female,4,Beauty,Medium-Value
CUST355,500,1,500.0,55,Female,1,Electronics,Medium-Value
CUST356,1500,1,1500.0,50,Male,3,Electronics,High-Value
CUST357,75,1,75.0,40,Female,3,Electronics,Low-Value
CUST358,300,1,300.0,32,Female,1,Beauty,Medium-Value
CUST359,50,1,50.0,50,Male,1,Clothing,Low-Value
CUST360,100,1,100.0,42,Male,4,Clothing,Medium-Value
CUST361,1200,1,1200.0,34,Female,4,Electronics,High-Value
CUST362,25,1,25.0,50,Male,1,Clothing,Low-Value
CUST363,25,1,25.0,64,Male,1,Beauty,Low-Value
CUST364,500,1,500.0,19,Female,1,Beauty,Medium-Value
CUST365,300,1,300.0,31,Male,1,Clothing,Medium-Value
CUST366,100,1,100.0,57,Male,2,Clothing,Medium-Value
CUST367,50,1,50.0,57,Female,1,Electronics,Low-Value
CUST368,1200,1,1200.0,56,Female,4,Clothing,High-Value
CUST369,1500,1,1500.0,23,Male,3,Electronics,High-Value
CUST370,60,1,60.0,23,Male,2,Electronics,Low-Value
CUST371,25,1,25.0,20,Female,1,Beauty,Low-Value
CUST372,1500,1,1500.0,24,Female,3,Beauty,High-Value
CUST373,600,1,600.0,25,Female,2,Beauty,High-Value
CUST374,75,1,75.0,59,Female,3,Beauty,Low-Value
CUST375,50,1,50.0,32,Male,1,Clothing,Low-Value
CUST376,30,1,30.0,64,Female,1,Beauty,Low-Value
CUST377,200,1,200.0,46,Female,4,Clothing,Medium-Value
CUST378,300,1,300.0,50,Male,1,Beauty,Medium-Value
CUST379,25,1,25.0,47,Female,1,Clothing,Low-Value
CUST380,600,1,600.0,56,Male,2,Electronics,High-Value
CUST381,100,1,100.0,44,Female,4,Clothing,Medium-Value
CUST382,1000,1,1000.0,53,Female,2,Clothing,High-Value
CUST383,90,1,90.0,46,Female,3,Beauty,Low-Value
CUST384,500,1,500.0,55,Male,1,Clothing,Medium-Value
CUST385,1500,1,1500.0,50,Male,3,Electronics,High-Value
CUST386,600,1,600.0,54,Female,2,Electronics,High-Value
CUST387,30,1,30.0,44,Male,1,Beauty,Low-Value
CUST388,25,1,25.0,50,Male,1,Electronics,Low-Value
CUST389,50,1,50.0,21,Male,2,Clothing,Low-Value
CUST390,100,1,100.0,39,Male,2,Electronics,Medium-Value
CUST391,50,1,50.0,19,Male,2,Beauty,Low-Value
CUST392,600,1,600.0,27,Male,2,Clothing,High-Value
CUST393,1000,1,1000.0,22,Female,2,Beauty,High-Value
CUST394,500,1,500.0,27,Female,1,Clothing,Medium-Value
CUST395,1000,1,1000.0,50,Male,2,Electronics,High-Value
CUST396,30,1,30.0,55,Female,1,Beauty,Low-Value
CUST397,25,1,25.0,30,Female,1,Beauty,Low-Value
CUST398,600,1,600.0,48,Female,2,Clothing,High-Value
CUST399,60,1,60.0,64,Female,2,Beauty,Low-Value
CUST400,200,1,200.0,53,Male,4,Clothing,Medium-Value
CUST401,300,1,300.0,62,Female,1,Clothing,Medium-Value
CUST402,600,1,600.0,41,Female,2,Clothing,High-Value
CUST403,600,1,600.0,32,Male,2,Clothing,High-Value
CUST404,1000,1,1000.0,46,Male,2,Electronics,High-Value
CUST405,1200,1,1200.0,25,Female,4,Clothing,High-Value
CUST406,100,1,100.0,22,Female,4,Beauty,Medium-Value
CUST407,900,1,900.0,46,Female,3,Electronics,High-Value
CUST408,500,1,500.0,64,Female,1,Beauty,Medium-Value
CUST409,900,1,900.0,21,Female,3,Electronics,High-Value
CUST410,100,1,100.0,29,Female,2,Clothing,Medium-Value
CUST411,200,1,200.0,62,Male,4,Electronics,Medium-Value
CUST412,2000,1,2000.0,19,Female,4,Electronics,High-Value
CUST413,75,1,75.0,44,Female,3,Beauty,Low-Value
CUST414,100,1,100.0,48,Male,4,Beauty,Medium-Value
CUST415,60,1,60.0,53,Male,2,Clothing,Low-Value
CUST416,2000,1,2000.0,53,Male,4,Electronics,High-Value
CUST417,900,1,900.0,43,Male,3,Electronics,High-Value
CUST418,1000,1,1000.0,60,Female,2,Electronics,High-Value
CUST419,90,1,90.0,44,Female,3,Clothing,Low-Value
CUST420,2000,1,2000.0,22,Female,4,Clothing,High-Value
CUST421,1500,1,1500.0,37,Female,3,Clothing,High-Value
CUST422,90,1,90.0,28,Female,3,Clothing,Low-Value
CUST423,25,1,25.0,27,Female,1,Clothing,Low-Value
CUST424,1200,1,1200.0,57,Male,4,Beauty,High-Value
CUST425,120,1,120.0,55,Female,4,Electronics,Medium-Value
CUST426,150,1,150.0,23,Male,3,Electronics,Medium-Value
CUST427,25,1,25.0,25,Male,1,Electronics,Low-Value
CUST428,200,1,200.0,40,Female,4,Electronics,Medium-Value
CUST429,50,1,50.0,64,Male,2,Electronics,Low-Value
CUST430,900,1,900.0,43,Female,3,Electronics,High-Value
CUST431,1200,1,1200.0,63,Male,4,Electronics,High-Value
CUST432,1000,1,1000.0,60,Female,2,Electronics,High-Value
CUST433,200,1,200.0,29,Male,4,Beauty,Medium-Value
CUST434,50,1,50.0,43,Female,2,Electronics,Low-Value
CUST435,900,1,900.0,30,Female,3,Beauty,High-Value
CUST436,120,1,120.0,57,Female,4,Clothing,Medium-Value
CUST437,1200,1,1200.0,35,Female,4,Electronics,High-Value
CUST438,30,1,30.0,42,Female,1,Clothing,Low-Value
CUST439,75,1,75.0,50,Male,3,Clothing,Low-Value
CUST440,600,1,600.0,64,Male,2,Clothing,High-Value
CUST441,1200,1,1200.0,57,Male,4,Beauty,High-Value
